receiving_actor_name,sending_actor_name,sending_actor_msg_index,sending_timestamp,receiving_timestamp,timestamp_diff,proceeding_msg_received
0,15,3,1683491687.2574298,1683491687.2648761,0.0074462890625,True
0,0,4,1683491687.2746348,1683491687.2756422,0.0010073184967041016,True
0,4,4,1683491687.271855,1683491687.276107,0.004251956939697266,True
0,5,4,1683491687.271855,1683491687.2761457,0.004290580749511719,True
0,6,4,1683491687.271855,1683491687.2761457,0.004290580749511719,True
0,9,4,1683491687.271855,1683491687.2761457,0.004290580749511719,True
0,12,4,1683491687.271855,1683491687.2772088,0.005353689193725586,True
0,11,4,1683491687.271855,1683491687.2772088,0.005353689193725586,True
0,16,4,1683491687.271855,1683491687.2772088,0.005353689193725586,True
0,1,4,1683491687.2726395,1683491687.278195,0.005555391311645508,True
0,8,4,1683491687.2726395,1683491687.278195,0.005555391311645508,True
